jrk_template,Phylum,Class,Order,Family,GENUS,COMMENT on genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,
jrk00178,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellopsis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00179,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01278,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Byssoporia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09638,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Fevansia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04435,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Laeticutis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,unknown,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04654,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04661,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucophleps,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05397,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Mycolevis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05562,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Neoalbatrellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,unknown,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06862,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Polyporoletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06865,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Polypus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,unknown,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07937,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Scutiger,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09459,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Xeroceps,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,unknown,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00194,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Aleurina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/aleurina,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00264,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09531,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanitopsis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,unknown,/amanita,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09532,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amarrendia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,unknown,/amanita,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00319,Basidiomycota,Agaricomycetes,Atheliales,Tylosporaceae,Amphinema,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/amphinema-tylospora,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09129,Basidiomycota,Agaricomycetes,Atheliales,Tylosporaceae,Tylospora,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,short-distance_delicate,/amphinema-tylospora,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00833,Basidiomycota,Agaricomycetes,Boletales,Serpulaceae,Austropaxillus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/austropaxillus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03600,Basidiomycota,Agaricomycetes,Boletales,Serpulaceae,Gymnopaxillus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/austropaxillus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01094,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Boletopsis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,mat,/boletopsis,,,ectomycorrhizal;;;;;filamentous_mycelium
extra taxons by annotators Vizzini Alfredo,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Phylloporopsis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00146,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Afroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00147,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Afrocastellanoa,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00192,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Alessioporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00799,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Aureoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00815,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Australopilus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00822,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Austroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00914,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Baorangia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01034,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Binderoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01091,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01093,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletochaete,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01095,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01115,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Borofutus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01117,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Bothia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01266,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01322,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
extra taxons by Matthew Smith,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Carolinigaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01463,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Castellanea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01662,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chamonixia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01695,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chiua,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk02072,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Corneroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk02120,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Costatisporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk02161,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Crocinoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09597,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cupreoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk02269,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cyanoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk02796,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Durianella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
extra taxons by annotators Vizzini Alfredo,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Erythrophylloporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03114,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Exsudoporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03189,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Fistulinella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03338,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Gastroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03339,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Gastroleccinum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03582,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Guyanaporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03594,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Gymnogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03711,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Harrya,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09599,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Heimiella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03726,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Heimioporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03764,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Heliogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03788,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hemileccinum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03924,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk03927,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hourangia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04009,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hymenoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04114,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04121,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imperator,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Ionosporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Indoporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04234,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Jimtrappea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04356,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Kombocles,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04461,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Lanmaoa,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04526,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinellum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04527,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09596,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Mackintoshia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05308,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Mucilopilus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05365,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Mycoamaranthus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05579,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09600,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Nigroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05859,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Octaviania,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06224,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Parvixerocomus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06252,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Paxillogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06567,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloboletellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06579,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06905,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Porphyrellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07016,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pseudoaustroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07024,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pseudoboletus,,ectomycorrhizal,mycoparasite,,,,,,non-aquatic,,Scleroderma,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;mycoparasite;;;;filamentous_mycelium
jrk07300,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pulchroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07305,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pulveroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07504,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Retiboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07529,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rheubarbariboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07574,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rhodactina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07691,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rossbeevera,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07708,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Royoungia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07713,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk07717,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rugiboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08018,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Setogyroporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08069,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Singerocomus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08071,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Singeromyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08072,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Sinoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08139,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Solioccasus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08258,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Spongiforma,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08461,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08509,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08522,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Sutorius,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08583,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Zangia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08693,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tengioboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk08924,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Trappeindia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09104,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tubosaeta,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09121,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Turmalinea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,ectomycorrhizal;;;;;filamentous_mycelium
